"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.025331214065567e+05, 2.661435547206506e-02, 7.424449043146975e-01
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.029096966456730e+05, 3.491013371208653e-02, 7.385492794114926e-01
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.033136086685187e+05, 4.380812864630043e-02, 7.343465577007519e-01
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.037437386073164e+05, 5.328369213537674e-02, 7.298677586402423e-01
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.041977592819444e+05, 6.328555747824353e-02, 7.251634248513305e-01
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.046740546226314e+05, 7.377812340575234e-02, 7.201881555195759e-01
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.051728963387888e+05, 8.476737555049248e-02, 7.149887638702905e-01
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.056918802973808e+05, 9.620035197430515e-02, 7.095456788730032e-01
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.062325352238293e+05, 1.081107297907470e-01, 7.038843206861576e-01
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.067927590403498e+05, 1.204522011990627e-01, 6.979906010155257e-01
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.073743656224375e+05, 1.332647250369546e-01, 6.918746520140174e-01
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.079763584239364e+05, 1.465263478538034e-01, 6.855191946500351e-01
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.086003152215625e+05, 1.602718273404721e-01, 6.789154187212366e-01
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.092467496022675e+05, 1.745124775798244e-01, 6.720598119453465e-01
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.099167791255383e+05, 1.892729178901501e-01, 6.649320264253000e-01
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.106121196226606e+05, 2.045909472405926e-01, 6.575108742499914e-01
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.113351148527923e+05, 2.205181975607195e-01, 6.497638163728023e-01
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.120880067950538e+05, 2.371040586129720e-01, 6.416697106991417e-01
187, 9.645400047300000e-01, 5.038225493362627e-03, 1.128738203396754e+05, 2.544151673292130e-01, 6.331737949112396e-01
188, 9.701499938960000e-01, 4.256268552403566e-03, 1.136970427188628e+05, 2.725503753582624e-01, 6.242393869150856e-01
189, 9.752799868580000e-01, 3.536324145770189e-03, 1.145628124529084e+05, 2.916228819240692e-01, 6.147817298035789e-01
190, 9.799500107769999e-01, 2.876826092032643e-03, 1.154794856725731e+05, 3.118167687201073e-01, 6.047071134299014e-01
191, 9.841300249100000e-01, 2.283176811071472e-03, 1.164574941965214e+05, 3.333618438837503e-01, 5.938858157786137e-01
192, 9.878399968150000e-01, 1.753609743384430e-03, 1.175105844528823e+05, 3.565609348648769e-01, 5.820813042276702e-01
193, 9.910500049590000e-01, 1.293363843462116e-03, 1.186629871026267e+05, 3.819478319108141e-01, 5.691428340772616e-01
194, 9.937800168990000e-01, 9.004365425509819e-04, 1.199321954144656e+05, 4.099079036354373e-01, 5.543363754071224e-01
195, 9.960200190539999e-01, 5.769983605901485e-04, 1.214021106239341e+05, 4.422894554283892e-01, 5.372480622889773e-01
196, 9.977599978450000e-01, 3.251111630156300e-04, 1.231141013075017e+05, 4.800038178840552e-01, 5.164348158777868e-01
197, 9.990000128750000e-01, 1.452537504052920e-04, 1.252700065159257e+05, 5.274974118802150e-01, 4.898069374974766e-01
198, 9.997500181200000e-01, 3.632896519016437e-05, 1.277878477259537e+05, 5.829642884889883e-01, 4.559098686293290e-01
